group,dominant_topic,topic_label,topic_prob,sentiment,polarity,subjectivity
sci.med.disease,Topic 2,taken home home,0.274,Neutral,0.016,0.203
rec.sport.baseball,Topic 26,football player vs. football team,0.307,Positive,0.169,0.315
talk.politics.misc,Topic 30,president of the united states,0.272,Neutral,0.035,0.424
sci.med.disease,Topic 11,sale new,0.265,Positive,0.13,0.5
sci.crypt,Topic 13,let put,0.209,Neutral,-0.039,0.366
comp.windows.x,Topic 22,window set color,0.341,Positive,0.095,0.645
comp.windows.x,Topic 16,file image,0.312,Negative,-0.14,0.367
religion.christian.church,Topic 17,evidence claim,0.481,Negative,-0.054,0.571
rec.motorcycles,Topic 13,let put,0.397,Negative,-0.469,1.0
politics.mideast.arab,Topic 18,armenian azerbaijan,0.299,Positive,0.117,0.454
comp.hardware.cpu,Topic 11,sale new,0.312,Positive,0.189,0.322
sci.med.treatment,Topic 28,patient drug,0.247,Positive,0.059,0.384
alt.atheism,Topic 17,evidence claim,0.297,Positive,0.157,0.541
rec.motorcycles,Topic 13,let put,0.384,Negative,-0.083,0.721
talk.politics.misc,Topic 13,let put,0.328,Neutral,0.01,0.425
rec.motorcycles,Topic 13,let put,0.308,Neutral,-0.016,0.425
comp.hardware.cpu,Topic 21,clock part,0.239,Negative,-0.5,1.0
sci.electronics.circuit,Topic 13,let put,0.385,Positive,0.3,0.5
comp.hardware.drives,Topic 22,window set color,0.356,Negative,-0.067,0.461
comp.os.ms-windows.misc,Topic 13,let put,0.288,Positive,0.089,0.238
comp.graphics.software,Topic 16,file image,0.41,Positive,0.333,0.5
politics.guns.control,Topic 13,let put,0.385,Negative,-0.1,0.3
comp.graphics.hardware,Topic 12,computer system,0.429,Neutral,0.0,0.125
comp.windows.x,Topic 6,bit point,0.315,Positive,0.144,0.281
comp.hardware.drives,Topic 12,computer system,0.456,Positive,0.113,0.508
sci.crypt,Topic 13,let put,0.301,Positive,0.115,0.3
sport.hockey.nhl,Topic 26,football player vs. football team,0.466,Positive,0.38,0.315
comp.windows.x,Topic 19,client server,0.392,Positive,0.193,0.292
politics.mideast.arab,Topic 7,israel jew,0.269,Neutral,-0.021,0.893
misc.forsale,Topic 11,sale new,0.284,Positive,0.743,0.607
comp.windows.x,Topic 17,evidence claim,0.233,Positive,0.057,0.384
politics.mideast.arab,Topic 18,armenian azerbaijan,0.336,Positive,0.214,0.533
sci.crypt,Topic 13,let put,0.475,Positive,0.148,0.396
sci.crypt,Topic 30,president of the united states,0.279,Positive,0.099,0.478
rec.motorcycles,Topic 13,let put,0.181,Positive,0.333,0.502
comp.hardware.drives,Topic 10,key government,0.327,Positive,0.125,0.15
sci.crypt,Topic 13,let put,0.297,Neutral,0.035,0.57
sci.crypt,Topic 17,evidence claim,0.318,Positive,0.234,0.502
talk.politics.misc,Topic 4,state law gun,0.27,Positive,0.325,0.575
politics.mideast.arab,Topic 7,israel jew,0.397,Positive,0.113,0.419
rec.autos.buying,Topic 13,let put,0.328,Positive,0.383,0.738
comp.hardware.drives,Topic 19,client server,0.417,Neutral,0.018,0.512
sport.hockey.nhl,Topic 26,football player vs. football team,0.3,Positive,0.122,0.489
rec.sport.baseball,Topic 13,let put,0.366,Positive,0.277,0.36
sci.electronics.circuit,Topic 23,power battery,0.342,Positive,0.065,0.31
sci.electronics.circuit,Topic 13,let put,0.288,Positive,0.143,0.462
talk.religion.misc,Topic 30,president of the united states,0.261,Negative,-0.087,0.8
comp.sys.mac.hardware,Topic 13,let put,0.398,Positive,0.187,0.57
rec.motorcycles,Topic 13,let put,0.539,Positive,0.158,0.767
rec.autos.repair,Topic 13,let put,0.285,Positive,0.271,0.82
sci.electronics.circuit,Topic 11,sale new,0.499,Negative,-0.075,0.25
comp.sys.mac.hardware,Topic 12,computer system,0.376,Neutral,0.0,0.0
religion.christian.church,Topic 14,god christian,0.56,Positive,0.086,0.497
comp.graphics.hardware,Topic 6,bit point,0.47,Neutral,0.027,0.346
sci.med.treatment,Topic 17,evidence claim,0.313,Positive,0.136,0.388
sci.crypt,Topic 13,let put,0.31,Positive,0.074,0.514
comp.sys.mac.hardware,Topic 11,sale new,0.34,Neutral,-0.005,0.258
sci.electronics.circuit,Topic 6,bit point,0.301,Positive,0.109,0.313
rec.sport.baseball,Topic 26,football player vs. football team,0.262,Neutral,0.0,1.0
rec.motorcycles,Topic 13,let put,0.28,Positive,0.139,0.7
sci.med.disease,Topic 17,evidence claim,0.311,Negative,-0.25,0.433
comp.sys.mac.hardware,Topic 12,computer system,0.33,Positive,0.357,0.657
misc.forsale,Topic 11,sale new,0.478,Neutral,-0.038,0.338
sci.med.treatment,Topic 13,let put,0.202,Positive,0.178,0.464
sport.hockey.nhl,Topic 26,football player vs. football team,0.431,Neutral,0.0,0.062
politics.guns.rights,Topic 13,let put,0.231,Positive,0.286,0.704
comp.graphics.software,Topic 16,file image,0.377,Positive,0.5,0.5
comp.graphics.software,Topic 16,file image,0.295,Positive,0.333,0.45
talk.politics.misc,Topic 30,president of the united states,0.295,Neutral,-0.007,0.472
religion.christian.bible,Topic 14,god christian,0.279,Neutral,0.035,0.495
rec.motorcycles,Topic 13,let put,0.329,Neutral,-0.029,0.413
sci.space.nasa,Topic 13,let put,0.303,Positive,0.11,0.373
comp.os.ms-windows.misc,Topic 13,let put,0.366,Positive,0.319,0.534
talk.religion.misc,Topic 13,let put,0.312,Negative,-0.188,0.5
politics.mideast.israel,Topic 17,evidence claim,0.392,Positive,0.4,0.55
comp.windows.x,Topic 13,let put,0.327,Negative,-0.108,0.108
comp.windows.x,Topic 22,window set color,0.224,Positive,0.193,0.487
talk.politics.misc,Topic 13,let put,0.234,Neutral,0.016,0.48
politics.guns.control,Topic 13,let put,0.252,Positive,0.35,0.55
sci.crypt,Topic 10,key government,0.456,Neutral,-0.024,0.661
comp.sys.mac.hardware,Topic 13,let put,0.364,Positive,0.207,0.424
misc.forsale,Topic 26,football player vs. football team,0.253,Negative,-0.106,0.25
sci.electronics.circuit,Topic 15,copy of a page,0.173,Positive,0.6,0.8
politics.guns.control,Topic 13,let put,0.434,Positive,0.15,0.65
talk.religion.misc,Topic 17,evidence claim,0.566,Positive,0.143,0.279
religion.christian.bible,Topic 14,god christian,0.395,Neutral,0.019,0.383
sci.med.disease,Topic 10,key government,0.268,Negative,-0.232,0.357
politics.mideast.israel,Topic 13,let put,0.375,Negative,-0.157,0.351
rec.sport.baseball,Topic 26,football player vs. football team,0.391,Neutral,0.032,0.505
comp.sys.mac.hardware,Topic 23,power battery,0.359,Positive,0.067,0.408
misc.forsale,Topic 20,mile a car,0.436,Positive,0.159,0.409
comp.hardware.drives,Topic 12,computer system,0.336,Neutral,0.037,0.604
talk.politics.misc,Topic 17,evidence claim,0.304,Neutral,0.012,0.605
religion.christian.church,Topic 17,evidence claim,0.535,Neutral,0.015,0.518
sci.med.treatment,Topic 13,let put,0.166,Negative,-0.051,0.292
comp.graphics.software,Topic 12,computer system,0.377,Positive,0.213,0.588
talk.politics.misc,Topic 13,let put,0.358,Neutral,-0.003,0.533
alt.atheism,Topic 17,evidence claim,0.381,Negative,-0.106,0.412
sci.electronics.circuit,Topic 13,let put,0.24,Positive,0.174,0.459
comp.os.ms-windows.misc,Topic 13,let put,0.248,Neutral,0.0,0.125
politics.guns.rights,Topic 30,president of the united states,0.27,Positive,0.177,0.498
rec.autos.buying,Topic 20,mile a car,0.273,Positive,0.104,0.395
rec.sport.baseball,Topic 24,mike and john,0.305,Positive,0.25,0.312
comp.windows.x,Topic 19,client server,0.264,Positive,0.317,0.467
sci.med.disease,Topic 28,patient drug,0.18,Positive,0.1,0.393
comp.windows.x,Topic 22,window set color,0.534,Positive,0.06,0.347
religion.christian.church,Topic 14,god christian,0.672,Positive,0.226,0.645
comp.windows.x,Topic 19,client server,0.326,Positive,0.314,0.654
misc.forsale,Topic 11,sale new,0.347,Neutral,-0.029,0.423
politics.mideast.israel,Topic 30,president of the united states,0.342,Neutral,0.0,0.1
sport.hockey.nhl,Topic 13,let put,0.235,Positive,0.062,0.188
sci.space.nasa,Topic 13,let put,0.269,Neutral,0.043,0.42
misc.forsale,Topic 11,sale new,0.279,Negative,-0.25,0.78
talk.politics.misc,Topic 14,god christian,0.346,Neutral,0.015,0.66
alt.atheism,Topic 17,evidence claim,0.637,Neutral,-0.004,0.507
comp.sys.mac.hardware,Topic 12,computer system,0.319,Positive,0.188,0.373
religion.christian.bible,Topic 8,wiki wiki,0.27,Negative,-0.117,0.283
religion.christian.bible,Topic 14,god christian,0.627,Positive,0.232,0.448
religion.christian.church,Topic 8,wiki wiki,0.382,Positive,0.156,0.289
rec.motorcycles,Topic 13,let put,0.419,Neutral,0.0,0.357
sci.crypt,Topic 17,evidence claim,0.277,Negative,-0.333,0.689
religion.christian.bible,Topic 14,god christian,0.32,Negative,-0.07,0.576
comp.os.ms-windows.misc,Topic 12,computer system,0.275,Positive,0.05,0.279
sci.med.disease,Topic 12,computer system,0.276,Positive,0.24,0.36
sci.space.nasa,Topic 9,space earth,0.312,Neutral,0.0,0.0
sci.space.nasa,Topic 20,mile a car,0.176,Positive,0.166,0.541
misc.forsale,Topic 11,sale new,0.38,Neutral,0.0,0.1
rec.motorcycles,Topic 13,let put,0.416,Negative,-0.3,0.74
religion.christian.church,Topic 13,let put,0.407,Neutral,-0.027,0.544
comp.hardware.cpu,Topic 10,key government,0.378,Positive,0.136,0.455
sci.med.disease,Topic 16,file image,0.358,Positive,0.101,0.459
sci.crypt,Topic 10,key government,0.44,Neutral,-0.026,0.535
comp.os.ms-windows.misc,Topic 17,evidence claim,0.27,Neutral,-0.038,0.144
talk.politics.misc,Topic 7,israel jew,0.264,Neutral,0.05,0.192
rec.autos.buying,Topic 4,state law gun,0.352,Positive,0.5,0.5
rec.motorcycles,Topic 13,let put,0.42,Positive,0.06,0.619
comp.sys.mac.hardware,Topic 12,computer system,0.292,Neutral,-0.035,0.521
comp.sys.mac.hardware,Topic 12,computer system,0.224,Negative,-0.135,0.575
comp.sys.mac.hardware,Topic 12,computer system,0.304,Positive,0.2,0.373
politics.guns.control,Topic 22,window set color,0.303,Negative,-0.171,0.271
rec.sport.baseball,Topic 13,let put,0.232,Neutral,0.04,0.412
rec.autos.buying,Topic 13,let put,0.502,Neutral,0.049,0.49
sci.space.nasa,Topic 9,space earth,0.34,Positive,0.159,0.507
sci.electronics.circuit,Topic 12,computer system,0.38,Neutral,0.021,0.522
religion.christian.bible,Topic 7,israel jew,0.205,Positive,0.169,0.457
religion.christian.bible,Topic 8,wiki wiki,0.318,Neutral,0.044,0.211
politics.mideast.arab,Topic 21,clock part,0.738,Neutral,0.019,0.444
misc.forsale,Topic 11,sale new,0.444,Positive,0.123,0.467
religion.christian.bible,Topic 14,god christian,0.449,Neutral,0.0,0.357
misc.forsale,Topic 11,sale new,0.459,Positive,0.068,0.405
comp.os.ms-windows.misc,Topic 12,computer system,0.316,Positive,0.118,0.268
sci.med.disease,Topic 28,patient drug,0.387,Positive,0.141,0.638
talk.religion.misc,Topic 13,let put,0.358,Neutral,0.017,0.514
comp.windows.x,Topic 19,client server,0.276,Neutral,0.0,0.5
politics.mideast.israel,Topic 17,evidence claim,0.295,Neutral,0.0,0.0
sci.crypt,Topic 10,key government,0.55,Positive,0.121,0.377
religion.christian.bible,Topic 14,god christian,0.405,Positive,0.079,0.547
misc.forsale,Topic 11,sale new,0.254,Positive,0.125,0.45
comp.graphics.software,Topic 6,bit point,0.236,Positive,0.228,0.281
talk.religion.misc,Topic 13,let put,0.588,Neutral,-0.031,0.328
comp.sys.mac.hardware,Topic 12,computer system,0.424,Positive,0.087,0.214
misc.forsale,Topic 16,file image,0.254,Positive,0.182,0.576
religion.christian.bible,Topic 14,god christian,0.704,Positive,0.051,0.503
sci.space.astronomy,Topic 29,subject newsgroups,0.233,Positive,0.083,0.333
comp.sys.mac.hardware,Topic 12,computer system,0.496,Positive,0.244,0.55
politics.mideast.arab,Topic 13,let put,0.487,Neutral,-0.015,0.392
sci.electronics.circuit,Topic 11,sale new,0.247,Positive,0.247,0.311
comp.sys.mac.hardware,Topic 29,subject newsgroups,0.18,Positive,0.2,0.225
misc.forsale,Topic 12,computer system,0.376,Positive,0.1,0.4
comp.windows.x,Topic 12,computer system,0.478,Positive,0.14,0.36
comp.hardware.cpu,Topic 17,evidence claim,0.224,Neutral,0.008,0.489
rec.autos.buying,Topic 20,mile a car,0.204,Positive,0.117,0.394
comp.os.ms-windows.misc,Topic 13,let put,0.307,Positive,0.239,0.572
sci.space.nasa,Topic 13,let put,0.271,Neutral,-0.017,0.453
rec.motorcycles,Topic 13,let put,0.522,Neutral,0.0,0.0
sport.hockey.nhl,Topic 25,homosexual homosexuality,0.394,Neutral,0.0,0.0
comp.sys.mac.hardware,Topic 11,sale new,0.177,Negative,-0.062,0.237
comp.os.ms-windows.misc,Topic 13,let put,0.403,Positive,0.292,0.461
sci.electronics.circuit,Topic 13,let put,0.319,Neutral,0.0,0.0
sci.electronics.devices,Topic 12,computer system,0.45,Neutral,-0.017,0.3
rec.sport.baseball,Topic 13,let put,0.396,Neutral,0.0,0.0
sci.crypt,Topic 16,file image,0.271,Positive,0.136,0.5
sci.med.disease,Topic 13,let put,0.67,Positive,0.21,0.393
alt.atheism,Topic 17,evidence claim,0.396,Negative,-0.2,0.6
comp.windows.x,Topic 12,computer system,0.344,Positive,0.26,0.375
sci.med.disease,Topic 13,let put,0.574,Neutral,-0.018,0.802
sci.med.disease,Topic 13,let put,0.306,Positive,0.077,0.425
religion.christian.church,Topic 17,evidence claim,0.424,Positive,0.064,0.461
comp.windows.x,Topic 16,file image,0.376,Positive,0.12,0.415
rec.autos.buying,Topic 4,state law gun,0.37,Negative,-0.16,0.303
sport.hockey.nhl,Topic 13,let put,0.334,Neutral,-0.017,0.796
rec.motorcycles,Topic 13,let put,0.548,Positive,0.467,0.748
sci.electronics.circuit,Topic 23,power battery,0.264,Positive,0.106,0.43
comp.windows.x,Topic 6,bit point,0.275,Positive,0.196,0.357
rec.motorcycles,Topic 13,let put,0.372,Positive,0.186,0.555
talk.religion.misc,Topic 17,evidence claim,0.647,Neutral,0.025,0.289
rec.autos.buying,Topic 12,computer system,0.259,Positive,0.201,0.608
politics.guns.control,Topic 4,state law gun,0.465,Positive,0.334,0.784
sci.crypt,Topic 13,let put,0.279,Positive,0.175,0.444
comp.os.ms-windows.misc,Topic 12,computer system,0.396,Neutral,0.024,0.396
comp.sys.mac.hardware,Topic 11,sale new,0.23,Neutral,0.025,0.706
rec.autos.buying,Topic 20,mile a car,0.275,Positive,0.106,0.434
sci.med.disease,Topic 17,evidence claim,0.435,Neutral,0.044,0.381
politics.guns.control,Topic 30,president of the united states,0.336,Neutral,0.0,0.0
comp.hardware.drives,Topic 12,computer system,0.723,Positive,0.06,0.432
misc.forsale,Topic 11,sale new,0.347,Positive,0.118,0.527
misc.forsale,Topic 2,taken home home,0.219,Positive,0.296,0.589
sci.med.disease,Topic 28,patient drug,0.304,Neutral,0.037,0.41
rec.motorcycles,Topic 30,president of the united states,0.286,Neutral,0.013,0.546
sci.electronics.devices,Topic 6,bit point,0.272,Neutral,0.007,0.338
comp.hardware.drives,Topic 11,sale new,0.282,Positive,0.119,0.531
talk.politics.misc,Topic 13,let put,0.199,Negative,-0.135,0.543
rec.motorcycles,Topic 27,bike motorcycle,0.358,Negative,-0.14,0.34
politics.guns.control,Topic 13,let put,0.253,Positive,0.275,0.692
misc.forsale,Topic 11,sale new,0.468,Positive,0.375,0.75
comp.os.ms-windows.misc,Topic 16,file image,0.472,Positive,0.063,0.688
comp.hardware.cpu,Topic 12,computer system,0.422,Positive,0.084,0.466
alt.atheism,Topic 14,god christian,0.539,Negative,-0.067,0.35
comp.os.ms-windows.misc,Topic 19,client server,0.46,Positive,0.113,0.43
comp.windows.x,Topic 22,window set color,0.572,Neutral,0.042,0.833
sci.electronics.circuit,Topic 23,power battery,0.214,Positive,0.097,0.442
sci.electronics.circuit,Topic 20,mile a car,0.372,Positive,0.053,0.485
rec.motorcycles,Topic 13,let put,0.362,Positive,0.438,0.55
misc.forsale,Topic 11,sale new,0.6,Positive,0.225,0.267
rec.motorcycles,Topic 13,let put,0.27,Positive,0.333,0.963
comp.windows.x,Topic 16,file image,0.272,Positive,0.067,0.283
rec.sport.baseball,Topic 13,let put,0.249,Positive,0.133,0.415
politics.mideast.israel,Topic 13,let put,0.278,Positive,0.062,0.404
sport.hockey.nhl,Topic 13,let put,0.141,Neutral,0.0,0.0
comp.windows.x,Topic 16,file image,0.387,Neutral,-0.019,0.215
sci.electronics.circuit,Topic 12,computer system,0.446,Neutral,0.0,0.0
talk.politics.misc,Topic 13,let put,0.378,Neutral,0.0,0.538
religion.christian.bible,Topic 13,let put,0.296,Positive,0.089,0.616
sci.crypt,Topic 4,state law gun,0.507,Positive,0.275,0.456
talk.religion.misc,Topic 14,god christian,0.351,Positive,0.7,0.6
alt.atheism,Topic 13,let put,0.238,Positive,0.096,0.547
rec.motorcycles,Topic 13,let put,0.216,Positive,0.111,0.461
rec.motorcycles,Topic 13,let put,0.47,Positive,0.09,0.494
rec.autos.buying,Topic 20,mile a car,0.393,Positive,0.237,0.391
comp.hardware.cpu,Topic 1,dial svg,0.182,Positive,0.15,0.55
comp.graphics.software,Topic 16,file image,0.619,Positive,0.067,0.269
religion.christian.church,Topic 13,let put,0.252,Positive,0.125,0.447
misc.forsale,Topic 11,sale new,0.327,Positive,0.167,0.558
politics.mideast.israel,Topic 30,president of the united states,0.297,Negative,-0.117,0.513
misc.forsale,Topic 11,sale new,0.195,Positive,0.253,0.606
religion.christian.church,Topic 14,god christian,0.381,Positive,0.204,0.49
rec.sport.baseball,Topic 26,football player vs. football team,0.356,Positive,0.175,0.433
sci.crypt,Topic 13,let put,0.233,Positive,0.212,0.576
rec.sport.baseball,Topic 13,let put,0.339,Negative,-0.3,0.4
sport.hockey.nhl,Topic 5,bos van,0.332,Positive,0.192,0.626
comp.sys.mac.hardware,Topic 11,sale new,0.386,Neutral,0.0,0.625
politics.mideast.arab,Topic 13,let put,0.244,Positive,0.069,0.286
rec.autos.buying,Topic 13,let put,0.322,Positive,0.217,0.531
comp.os.ms-windows.misc,Topic 13,let put,0.473,Negative,-0.13,0.538
sport.hockey.general,Topic 5,bos van,0.43,Positive,0.094,0.125
sport.hockey.nhl,Topic 5,bos van,0.39,Negative,-0.054,0.464
sci.med.treatment,Topic 28,patient drug,0.415,Positive,0.2,0.489
misc.forsale,Topic 13,let put,0.342,Positive,0.188,0.425
comp.sys.mac.hardware,Topic 12,computer system,0.337,Positive,0.5,0.533
rec.autos.buying,Topic 16,file image,0.412,Positive,0.147,0.47
religion.christian.church,Topic 14,god christian,0.333,Positive,0.167,0.484
rec.sport.baseball,Topic 26,football player vs. football team,0.341,Negative,-0.09,0.379
misc.forsale,Topic 11,sale new,0.439,Positive,0.29,0.32
religion.christian.church,Topic 14,god christian,0.35,Positive,0.124,0.356
sci.space.nasa,Topic 16,file image,0.531,Positive,0.05,0.332
misc.forsale,Topic 22,window set color,0.168,Positive,0.107,0.331
misc.forsale,Topic 11,sale new,0.309,Positive,0.442,0.563
comp.os.ms-windows.misc,Topic 17,evidence claim,0.328,Positive,0.216,0.624
sci.crypt,Topic 13,let put,0.378,Neutral,0.0,0.0
rec.sport.baseball,Topic 16,file image,0.441,Neutral,0.0,0.0
rec.motorcycles,Topic 13,let put,0.283,Positive,0.057,0.56
talk.politics.misc,Topic 13,let put,0.352,Positive,0.1,0.9
comp.windows.x,Topic 19,client server,0.274,Positive,0.079,0.342
alt.atheism,Topic 17,evidence claim,0.406,Negative,-0.054,0.604
comp.graphics.software,Topic 13,let put,0.325,Positive,0.162,0.467
politics.mideast.israel,Topic 7,israel jew,0.266,Positive,0.08,0.418
alt.atheism,Topic 17,evidence claim,0.375,Positive,0.14,0.682
sport.hockey.nhl,Topic 13,let put,0.578,Positive,0.175,0.725
sport.hockey.nhl,Topic 26,football player vs. football team,0.423,Positive,0.283,0.483
politics.guns.rights,Topic 4,state law gun,0.197,Positive,0.197,0.566
sci.med.disease,Topic 24,mike and john,0.702,Positive,0.487,0.825
sport.hockey.nhl,Topic 26,football player vs. football team,0.495,Positive,0.488,0.526
rec.autos.buying,Topic 6,bit point,0.234,Neutral,-0.05,0.45
rec.autos.repair,Topic 12,computer system,0.288,Negative,-0.1,0.354
comp.sys.mac.hardware,Topic 11,sale new,0.262,Positive,0.212,0.502
politics.guns.rights,Topic 13,let put,0.376,Neutral,0.002,0.531
rec.autos.buying,Topic 20,mile a car,0.211,Positive,0.098,0.552
comp.hardware.cpu,Topic 13,let put,0.481,Neutral,0.0,0.0
sci.crypt,Topic 21,clock part,0.35,Positive,0.105,0.391
comp.graphics.software,Topic 16,file image,0.334,Neutral,0.0,0.333
sci.med.disease,Topic 17,evidence claim,0.242,Positive,0.175,0.557
comp.graphics.hardware,Topic 16,file image,0.459,Positive,0.182,0.408
sport.hockey.nhl,Topic 26,football player vs. football team,0.359,Positive,0.154,0.362
politics.mideast.israel,Topic 7,israel jew,0.277,Neutral,0.02,0.251
sci.med.disease,Topic 28,patient drug,0.363,Positive,0.062,0.471
comp.graphics.hardware,Topic 13,let put,0.19,Positive,0.133,0.514
politics.mideast.israel,Topic 14,god christian,0.399,Positive,0.062,0.335
comp.hardware.drives,Topic 12,computer system,0.308,Neutral,0.0,0.65
misc.forsale,Topic 11,sale new,0.379,Positive,0.223,0.459
religion.christian.bible,Topic 14,god christian,0.516,Positive,0.114,0.481
alt.atheism,Topic 14,god christian,0.322,Neutral,0.044,0.399
talk.politics.misc,Topic 30,president of the united states,0.474,Positive,0.236,0.53
rec.motorcycles,Topic 13,let put,0.351,Neutral,0.0,0.0
rec.autos.buying,Topic 20,mile a car,0.257,Positive,0.157,0.442
politics.mideast.israel,Topic 17,evidence claim,0.263,Positive,0.066,0.427
politics.guns.control,Topic 13,let put,0.319,Positive,0.051,0.366
comp.windows.x,Topic 19,client server,0.318,Positive,0.5,0.5
comp.graphics.software,Topic 17,evidence claim,0.199,Neutral,0.006,0.495
comp.sys.mac.hardware,Topic 13,let put,0.261,Positive,0.068,0.727
politics.mideast.israel,Topic 13,let put,0.155,Negative,-0.322,0.417
religion.christian.bible,Topic 17,evidence claim,0.346,Positive,0.052,0.167
comp.os.ms-windows.misc,Topic 16,file image,0.225,Positive,0.3,0.3
politics.mideast.arab,Topic 17,evidence claim,0.171,Positive,0.165,0.61
comp.graphics.software,Topic 16,file image,0.424,Positive,0.139,0.507
sport.hockey.nhl,Topic 26,football player vs. football team,0.336,Positive,0.355,0.375
sport.hockey.nhl,Topic 13,let put,0.384,Neutral,-0.033,0.459
rec.sport.baseball,Topic 13,let put,0.444,Negative,-0.083,0.717
sport.hockey.nhl,Topic 13,let put,0.262,Positive,0.082,0.4
rec.motorcycles,Topic 4,state law gun,0.304,Neutral,0.03,0.48
sport.hockey.nhl,Topic 13,let put,0.246,Positive,0.329,0.548
comp.hardware.drives,Topic 11,sale new,0.509,Positive,0.317,0.663
politics.mideast.israel,Topic 7,israel jew,0.396,Positive,0.124,0.424
sci.med.disease,Topic 13,let put,0.298,Positive,0.275,0.63
alt.atheism,Topic 4,state law gun,0.32,Neutral,-0.041,0.6
rec.sport.baseball,Topic 26,football player vs. football team,0.415,Negative,-0.138,0.333
misc.forsale,Topic 11,sale new,0.382,Negative,-0.097,0.181
religion.christian.bible,Topic 17,evidence claim,0.283,Neutral,-0.031,0.425
talk.religion.misc,Topic 14,god christian,0.327,Neutral,-0.019,0.399
misc.forsale,Topic 15,copy of a page,0.2,Positive,0.125,0.542
comp.hardware.cpu,Topic 13,let put,0.514,Positive,0.175,0.325
sci.crypt,Topic 6,bit point,0.232,Positive,0.089,0.444
comp.graphics.software,Topic 16,file image,0.421,Positive,0.175,0.519
religion.christian.church,Topic 17,evidence claim,0.575,Positive,0.119,0.511
politics.mideast.arab,Topic 18,armenian azerbaijan,0.222,Negative,-0.06,0.54
sci.med.disease,Topic 13,let put,0.31,Negative,-0.25,0.25
rec.motorcycles,Topic 13,let put,0.328,Positive,0.061,0.423
misc.forsale,Topic 11,sale new,0.35,Neutral,-0.021,0.352
comp.os.ms-windows.misc,Topic 13,let put,0.292,Positive,0.057,0.241
sci.space.nasa,Topic 13,let put,0.301,Positive,0.058,0.203
rec.sport.baseball,Topic 11,sale new,0.351,Positive,0.367,0.5
talk.religion.misc,Topic 17,evidence claim,0.285,Positive,0.054,0.351
rec.motorcycles,Topic 20,mile a car,0.291,Positive,0.5,0.625
sci.crypt,Topic 17,evidence claim,0.29,Positive,0.138,0.623
sci.space.nasa,Topic 9,space earth,0.326,Positive,0.144,0.344
alt.atheism,Topic 8,wiki wiki,0.289,Neutral,0.0,0.0
comp.sys.mac.hardware,Topic 13,let put,0.257,Positive,0.1,0.15
talk.politics.misc,Topic 30,president of the united states,0.226,Positive,0.13,0.477
rec.autos.repair,Topic 13,let put,0.34,Positive,0.182,0.409
politics.guns.control,Topic 10,key government,0.285,Negative,-0.208,0.5
comp.hardware.drives,Topic 12,computer system,0.404,Negative,-0.25,0.75
talk.politics.misc,Topic 17,evidence claim,0.379,Negative,-0.052,0.374
comp.graphics.software,Topic 16,file image,0.182,Positive,0.081,0.264
politics.guns.control,Topic 30,president of the united states,0.289,Negative,-0.131,0.596
rec.sport.baseball,Topic 13,let put,0.44,Neutral,-0.01,0.393
religion.christian.bible,Topic 14,god christian,0.401,Neutral,0.0,0.0
politics.mideast.israel,Topic 17,evidence claim,0.27,Positive,0.2,0.2
religion.christian.church,Topic 14,god christian,0.404,Positive,0.078,0.465
comp.windows.x,Topic 16,file image,0.227,Positive,0.234,0.429
politics.mideast.arab,Topic 13,let put,0.317,Positive,0.156,0.443
politics.mideast.arab,Topic 2,taken home home,0.632,Neutral,-0.034,0.385
comp.sys.mac.hardware,Topic 12,computer system,0.252,Positive,0.18,0.633
religion.christian.bible,Topic 14,god christian,0.441,Positive,0.275,0.587
rec.sport.baseball,Topic 17,evidence claim,0.542,Positive,0.062,0.177
misc.forsale,Topic 12,computer system,0.513,Positive,0.075,0.338
rec.autos.buying,Topic 13,let put,0.404,Positive,0.317,0.583
talk.religion.misc,Topic 14,god christian,0.21,Neutral,-0.028,0.465
sci.med.treatment,Topic 13,let put,0.369,Neutral,0.006,0.502
politics.guns.control,Topic 13,let put,0.423,Positive,0.1,0.192
sci.electronics.circuit,Topic 11,sale new,0.319,Positive,0.099,0.343
talk.politics.misc,Topic 13,let put,0.242,Positive,0.228,0.578
sci.electronics.circuit,Topic 13,let put,0.379,Positive,0.138,0.441
politics.guns.control,Topic 4,state law gun,0.327,Negative,-0.086,0.484
comp.os.ms-windows.misc,Topic 15,copy of a page,0.619,Neutral,-0.002,0.204
sci.crypt,Topic 10,key government,0.495,Positive,0.142,0.42
religion.christian.bible,Topic 14,god christian,0.509,Negative,-0.103,0.428
sci.space.nasa,Topic 9,space earth,0.356,Positive,0.153,0.453
comp.hardware.drives,Topic 12,computer system,0.269,Positive,0.358,0.458
talk.religion.misc,Topic 13,let put,0.552,Negative,-0.369,0.694
rec.sport.baseball,Topic 26,football player vs. football team,0.289,Positive,0.355,0.367
sport.hockey.nhl,Topic 13,let put,0.346,Positive,0.185,0.477
rec.autos.buying,Topic 13,let put,0.303,Neutral,-0.022,0.51
talk.politics.misc,Topic 13,let put,0.375,Positive,0.169,0.528
sci.crypt,Topic 10,key government,0.347,Positive,0.179,0.48
sci.med.disease,Topic 13,let put,0.231,Negative,-0.142,0.458
comp.graphics.hardware,Topic 16,file image,0.162,Positive,0.168,0.32
sci.crypt,Topic 10,key government,0.236,Positive,0.122,0.475
comp.hardware.cpu,Topic 12,computer system,0.28,Positive,0.13,0.28
